Marker	Mean V (V) 	STD (V)
A	0.2854	0.0109
B	0.5147	0.0080
C	0.6313	0.0079
D	0.8390	0.0075
E	1.0021	0.0076
F	1.1359	0.0078
G	1.3458	0.0117
H	1.4944	0.0112
I	1.6589	0.0109
J	1.7733	0.0109
1	0.2650	0.0098
2	0.4993	0.0048
3	0.6221	0.0066
4	0.8715	0.0082
5	1.1203	0.0074
6	1.2844	0.0100
7	1.4526	0.0146
8	1.6178	0.0113
9	1.7579	0.0096
